test_year,n_test,pick_bin_mae,pick_bin_rmse,pick_bin_spearman,pick_bin_r2,spline_mae,spline_rmse,spline_spearman,spline_r2,xgb_mae,xgb_rmse,xgb_spearman,xgb_r2,tabnet_mae,tabnet_rmse,tabnet_spearman,tabnet_r2
2010,173,3.386472869718803,4.4734477178982965,0.5432978532751346,0.29695979252101623,3.393169300398859,4.511870139533646,0.5556782054659403,0.2848311105116187,3.6655936161906735,5.0033557439359555,0.5135822697054252,0.12053573634773762,3.2969621282092407,4.37305730917567,0.5833059875101785,0.3281601365231316
2011,186,3.6941860000479694,5.231742525783271,0.5824220437176529,0.376175284018025,3.772132658079409,5.331221191871455,0.6051378146250476,0.3522263827432318,3.7951168344626502,5.339518381557514,0.5687915821301675,0.35020850248218105,3.756190132069331,5.450088312555846,0.5737887035474468,0.32301829604056653
2012,182,3.5195350191855037,4.934974082924788,0.563422667538381,0.3199146874053327,3.288974930364561,4.810469445911925,0.6527922124879512,0.35379760339807187,3.446771985554433,4.915503900795396,0.5701400569753298,0.32527044561305407,4.3310361576604315,5.911685102801744,0.25160068960847765,0.024075483336125858
2013,173,3.345498202065384,4.5680294170899565,0.5391231887093481,0.2540595279727209,3.5112450016114036,4.66331628762202,0.4913571350718024,0.222615044435308,3.4860464658351304,4.6572284240162904,0.5144288149533671,0.22464343973256895,3.5526049457533513,4.644955767117408,0.5158757184680559,0.22872447092950798
2014,168,3.93766613382906,5.082376490635463,0.4613036129847517,0.25011703724687495,3.7394478524427446,4.910361119848439,0.5284089178991014,0.3000183027459612,3.7120091092018854,4.971563482088566,0.5309443304963319,0.28246052526420184,4.517792522907257,5.934270902460224,0.11001741320586755,-0.022338123426613787
2015,174,3.519346534964072,4.621346566650731,0.5541467945264315,0.3178528164780634,3.3231687457464694,4.415418281974869,0.6232307916133564,0.37729161148735635,3.192868898826084,4.448607703512781,0.6421718205712139,0.36789499035168693,3.5468803657882515,4.592908159151792,0.551793847809183,0.3262224511192636
2016,181,3.537482329062987,4.979502653701322,0.5057547150486328,0.2138991243836924,3.5559231269419853,4.936008295647141,0.5283933558218471,0.22757182698718048,3.5514956676498963,4.923932923923059,0.5161041937817197,0.23134651601217215,3.49097007545977,5.0437643354731625,0.5257034720495776,0.19347856053125256
2017,189,3.8547945891564486,5.198839437689942,0.47118697301806545,0.21807495977130031,3.728121418696389,5.028105792973122,0.5160420713287988,0.2685896103453974,3.6990230890808915,5.01328009770511,0.5170819033795669,0.2728964731565603,4.019705644991032,5.865109994665266,0.45795558952610443,0.004813137607481366
2018,193,3.00067077071315,4.363307038615762,0.6795157060871723,0.426489319935911,2.94407356001317,4.19420437898486,0.6619851614564568,0.4700814294578012,2.8643252806342328,4.039049142889255,0.6834103934491073,0.5085625655765376,2.951937140578433,4.270384654763516,0.6890188018138026,0.45065654793941134
2019,193,3.1425408241066015,4.260030574369677,0.5963298758549878,0.3490234667515092,3.228069048802145,4.267662935573476,0.5674928508766259,0.3466887704274101,3.0077642257967145,4.1040252675362785,0.6112759206055344,0.3958288921489992,3.2782812538542276,4.316972199047976,0.5956553765291156,0.33150462837440575
2020,206,3.342270531249548,4.734409705205987,0.5452779575367485,0.3354794107294484,3.336828592172507,4.5386588534138035,0.5828204542647433,0.38929447911921367,3.243104851940303,4.512474080928334,0.595027571994802,0.3963208086408109,4.272254909126504,5.869591344184913,0.007012778771201191,-0.021392104952245417
2021,214,3.493773248909038,4.650595515038849,0.5437032376221033,0.37240360094265323,3.7618223357997884,4.958213047657451,0.4985053127944699,0.2866319179965561,3.791855650527455,4.925935041871374,0.5108292498116973,0.2958897489187883,5.067445730494562,11.02239704618552,0.2731625759268851,-2.5254568886595417
2022,210,3.649153531907733,4.736317775280779,0.4605526560907237,0.23206734018073216,3.5943711454869685,4.66543027040999,0.5140370579518178,0.25488230329934336,3.4426129866214024,4.574644541785696,0.5358991335060505,0.28359900410659666,3.6140888713655017,4.8047528991747095,0.46535973971355993,0.2097152756232452
2023,206,3.1909402106528453,4.198088472962562,0.6092845298643365,0.3837005929517414,3.130865842550216,4.17921504823442,0.5721800077732386,0.3892295541264006,3.212924695130691,4.3464064629611014,0.5791893379858324,0.33938375106493357,4.288233592672255,5.354418125252497,0.23900572313007235,-0.0025663878379438287
2024,191,3.115547784508934,4.117377904426316,0.6370339366386353,0.4377966882854425,3.1029710069977616,3.9791612049426757,0.6497910328932154,0.47490847610430076,3.0753133315983088,3.943581230012256,0.6495742245444981,0.4842567863174282,4.195310082111059,5.427804352571553,0.13554436803643696,0.022987072352861793
