pfr_player_id,player_name,pfr_player_name,position,primary_position,last_team,last_class,n_seasons,first_season,last_season,first_av_year,target_av,games,rush_att,rush_yds,rush_td,best_season_rush_yds,best_season_rush_td,career_rush_y_per_a
ArtiCa00,Cameron Artis-Payne,Cameron Artis-Payne,RB,RB,Auburn,SR,2,2013,2014,2015,3.0,26,394,2218,19,1608,13,5.629441624365482
HydeCa00,Carlos Hyde,Carlos Hyde,RB,RB,Ohio State,SO,1,2011,2011,2014,5.0,13,106,566,6,566,6,5.339622641509434
SteeCa00,Carson Steele,Carson Steele,RB,RB,Ball State,FR,1,2021,2021,2024,1.0,13,192,891,6,891,6,4.640625
SappCe00,Cecil Sapp,Cecil Sapp,RB,RB,Colorado State,SR,1,2002,2002,2003,0.0,14,347,1601,17,1601,17,4.6138328530259365
BensCe00,Cedric Benson,Cedric Benson,RB,RB,Texas,SO,1,2002,2002,2005,7.0,13,305,1293,12,1293,12,4.239344262295082
HousCe00,Cedric Houston,Cedric Houston,RB,RB,Tennessee,SR,1,2004,2004,2005,5.0,13,181,1005,8,1005,8,5.552486187845304
HallCh00,Chad Hall,Chad Hall,WR,WR,Air Force,SR,1,2007,2007,2010,1.0,13,230,1478,15,1478,15,6.426086956521739
SpanCh00,Chad Spann,Chad Spann,RB,RB,Northern Illinois,SR,3,2008,2010,2011,0.0,40,525,2855,49,1388,22,5.438095238095238
JoneCh10,Charles Jones,Charles Jones,RB,TE,Kansas State,SR,3,2014,2016,2019,0.0,39,390,1832,20,696,13,4.697435897435898
SimsCh00,Charles Sims,Charles Sims,RB,RB,Houston,SO,2,2009,2011,2014,10.0,27,242,1519,18,821,9,6.276859504132231
WashCh00,Chauncey Washington,Chauncey Washington,RB,RB,USC,JR,1,2006,2006,2008,0.0,13,157,744,9,744,9,4.738853503184713
BarcCh00,Chris Barclay,Chris Barclay,RB,RB,Wake Forest,FR,1,2002,2002,2007,0.0,13,144,703,9,703,9,4.881944444444445
BrowCh03,Chris Brown,Chris Brown,RB,RB,Oklahoma,SR,3,2007,2009,2003,11.0,40,557,2580,36,1220,20,4.631956912028725
EvanCh02,Chris Evans,Chris Evans,RB,RB,Michigan,SO,2,2016,2017,2021,2.0,26,223,1299,10,685,6,5.825112107623318
JohnCh04,Chris Johnson,Chris Johnson,RB,RB,East Carolina,SR,1,2007,2007,2008,28.0,13,236,1423,17,1423,17,6.029661016949152
PerrCh00,Chris Perry,Chris Perry,RB,RB,Michigan,SR,2,2002,2003,2004,6.0,26,605,2784,32,1674,18,4.601652892561983
PolkCh00,Chris Polk,Chris Polk,RB,RB,Washington,JR,2,2010,2011,2012,1.0,26,553,2903,21,1488,12,5.249547920433996
RainCh00,Chris Rainey,Chris Rainey,RB,RB,Florida,JR,2,2008,2009,2012,1.0,28,173,1227,9,652,5,7.092485549132948
ThomCh03,Chris Thompson,Chris Thompson,RB,RB,Florida State,SO,1,2010,2010,2013,0.0,14,134,845,6,845,6,6.3059701492537314
McCaCh01,Christian McCaffrey,Christian McCaffrey,RB,RB,Stanford,SO,1,2015,2015,2017,25.0,14,337,2019,8,2019,8,5.991097922848665
