model_type,model,pick_bin_start,pick_bin_end,n,actual_mean_av,predicted_mean_av,mae,rmse,spearman,r2
rf,Random Forest,97,112,288,4.038194444444445,2.578857087396041,2.9503180902701374,4.218745475659832,0.259430179723357,-0.07175842426360313
rf,Random Forest,113,128,288,3.25,2.282207641508699,2.5791047829856586,3.67885635844346,0.20424490309963458,-0.05118323153863091
rf,Random Forest,129,144,288,3.0069444444444446,1.8370087182911676,2.6751012712245625,4.101965157583547,0.13265313748850713,-0.09785620216657875
rf,Random Forest,145,160,288,3.0868055555555554,1.488983329113241,2.771572379236643,4.22312129263258,0.11090919685656739,-0.16081502690111726
rf,Random Forest,161,176,288,2.8020833333333335,1.3601062448987322,2.53414313869912,4.141671628041576,0.20617107766481252,-0.11222526997304194
rf,Random Forest,177,192,288,1.96875,1.0896134562744506,1.9305354027136714,3.206618132685396,0.19068467702054248,-0.04910599275029859
rf,Random Forest,193,208,288,1.6145833333333333,0.9384921748219376,1.6746979899611472,2.7476848337148128,0.12957135885302132,-0.05641556335195319
rf,Random Forest,209,224,288,1.5972222222222223,0.9008701486092464,1.625522209505066,2.599989366363678,0.2916975275914694,-0.02182689464290899
rf,Random Forest,225,240,288,1.375,0.8000909428301635,1.467662265717214,2.478374850906302,0.2571961835860621,-0.01929960683502885
rf,Random Forest,241,256,266,1.3421052631578947,0.7996684149655241,1.4802536063424299,2.507429222158876,0.17785509143669442,-0.04272615193872298
rf,Random Forest,257,272,13,2.3846153846153846,0.8169015973755237,2.6280458295587965,6.618648636014775,-0.35020129355916324,-0.10563024949618005
spline,Spline Ridge,1,16,288,13.802083333333334,4.000787217247478,10.12254355052268,12.263119159093847,0.044722883322894424,-1.9213166042906864
spline,Spline Ridge,17,32,288,10.041666666666666,3.7462382922978006,7.073144247640515,8.887887524275847,0.00901966522115099,-1.2548618719979512
spline,Spline Ridge,33,48,288,8.288194444444445,2.917816322545391,6.150446593884073,7.870523860424135,0.003649093041681349,-1.0279686308256752
spline,Spline Ridge,49,64,288,7.149305555555555,2.741042553178438,5.301661595802409,7.261322997469447,0.10047149561121484,-0.6267814928933635
spline,Spline Ridge,65,80,288,6.097222222222222,2.274117105492562,4.83230873516656,6.550079944082971,0.053744984103846705,-0.5634300049050214
spline,Spline Ridge,81,96,288,5.197916666666667,2.0865132396228683,4.07117339655967,5.85673965324663,0.0417265105089704,-0.4661940315307016
spline,Spline Ridge,97,112,288,4.038194444444445,1.9075051017624658,3.1901886296865842,4.66998591999355,0.14189878820049598,-0.3132923042307405
spline,Spline Ridge,113,128,288,3.25,1.7412246775797136,2.7448823120244223,3.993461175459629,0.07409112167108027,-0.2386588085361867
spline,Spline Ridge,129,144,288,3.0069444444444446,1.6830440986018593,2.7115161687742613,4.218694252365333,0.1307031936334352,-0.1612283444300533
spline,Spline Ridge,145,160,288,3.0868055555555554,1.4699409624620268,2.774264891118982,4.20170766677622,0.20797698478773943,-0.14907288797597285
spline,Spline Ridge,161,176,288,2.8020833333333335,1.5030960621358376,2.6584239542926236,4.242480737589417,0.05363833933907578,-0.16702777026108762
spline,Spline Ridge,177,192,288,1.96875,1.3888967362367497,2.0493978365385304,3.270030671108325,0.13833983737403205,-0.09100949923433888
spline,Spline Ridge,193,208,288,1.6145833333333333,1.325884653221093,1.84083585563146,2.791421950966686,0.06951037115131753,-0.09031487270317307
spline,Spline Ridge,209,224,288,1.5972222222222223,1.2913889489319486,1.7901071710360894,2.6706529656540297,0.14080683197088903,-0.07812496198184404
spline,Spline Ridge,225,240,288,1.375,1.2208852378138988,1.7210656875998187,2.5521364911547018,0.043306059459399165,-0.08087547842767417
spline,Spline Ridge,241,256,266,1.3421052631578947,1.5035653857710203,1.8038453211637844,2.5984626906933137,0.07748203979905893,-0.11981394410854129
spline,Spline Ridge,257,272,13,2.3846153846153846,2.1174042170298946,3.3309858887614445,6.503600251867554,-0.4133006257319854,-0.06752717202800174
stack,Stacked Ensemble,1,16,288,13.802083333333334,10.328657467154015,5.970885649620081,7.9417190546057315,0.15479553049001282,-0.2251965621686216
stack,Stacked Ensemble,17,32,288,10.041666666666666,7.975472220104545,4.948316551325206,6.34754957075303,0.11799152093007463,-0.15009852215789588
stack,Stacked Ensemble,33,48,288,8.288194444444445,6.515302815931539,4.583545695827016,5.863224113788136,0.12427552592021268,-0.12545191072068063
stack,Stacked Ensemble,49,64,288,7.149305555555555,5.75366576432953,4.295669450624876,5.745931231668251,0.22599036658679872,-0.01863491968214248
stack,Stacked Ensemble,65,80,288,6.097222222222222,4.336906456919263,4.28929165210381,5.55097683748107,0.08121287178582787,-0.12285601979279281
stack,Stacked Ensemble,81,96,288,5.197916666666667,3.584717017882776,3.7220274643172377,5.203987415687095,0.017372427595182025,-0.15758285198789834
stack,Stacked Ensemble,97,112,288,4.038194444444445,3.0410446082111537,2.928909804277107,4.106328887874448,0.23429062863470412,-0.015401306077663657
stack,Stacked Ensemble,113,128,288,3.25,2.73122557309723,2.62286406298679,3.6007881985005636,0.14200134805519696,-0.007042768967839619
stack,Stacked Ensemble,129,144,288,3.0069444444444446,2.228006189307216,2.712832116685849,4.051253049981016,0.08754062202574041,-0.07087866799030618
stack,Stacked Ensemble,145,160,288,3.0868055555555554,1.7594939421392881,2.824854676693271,4.185937847818946,-0.01276012978716609,-0.14046369016414828
stack,Stacked Ensemble,161,176,288,2.8020833333333335,1.635041296102222,2.586888300167459,4.084674628689137,0.15818158647940603,-0.08182339208441358
stack,Stacked Ensemble,177,192,288,1.96875,1.3473452165880386,1.9468296186294762,3.1521054904156216,0.1925330493314388,-0.013739494428905319
stack,Stacked Ensemble,193,208,288,1.6145833333333333,1.2142905923496565,1.7534748408169827,2.71157655521878,0.11951234666391586,-0.028832555075060995
stack,Stacked Ensemble,209,224,288,1.5972222222222223,1.1748307380377847,1.7241378983681979,2.5759014320181173,0.20052685853763214,-0.0029809092829846673
stack,Stacked Ensemble,225,240,288,1.375,1.12277401564755,1.5732400259897494,2.4440905634144507,0.22491051548192156,0.008706044099445864
stack,Stacked Ensemble,241,256,266,1.3421052631578947,1.0704256845010631,1.5718242504188753,2.478086194887733,0.19418034478349466,-0.01846408028902613
stack,Stacked Ensemble,257,272,13,2.3846153846153846,1.0362821018420223,2.691804947638922,6.598946980585031,-0.35020129355916324,-0.09905781237824351
xgb,XGBoost,1,16,288,13.802083333333334,10.205448936325006,6.235919686587295,8.270497619780652,0.13417443393479023,-0.328740010874256
xgb,XGBoost,17,32,288,10.041666666666666,8.405814209125108,4.969287181687024,6.532956993046519,0.08660106325299462,-0.21826689102757113
xgb,XGBoost,33,48,288,8.288194444444445,7.192524610035536,4.452341619723787,5.681955039256617,0.1853917944902373,-0.056938064723686344
xgb,XGBoost,49,64,288,7.149305555555555,6.345353418689531,4.20182170050167,5.630441324422637,0.23001029396054357,0.02190151521721828
xgb,XGBoost,65,80,288,6.097222222222222,4.817759473239777,4.240218676472271,5.432746430687956,0.10719920532694088,-0.07553391993695802
