test_year,model_type,model,n_train,n_test,cfb_match_rate,mae,rmse,spearman,r2
2015,spline,Spline Ridge,9849,256,0.0790943242968829,3.907983794231246,5.886173648567572,0.2458571848118836,-0.1258799033148923
2015,xgb,XGBoost,9849,256,0.0790943242968829,3.2268473002068276,4.594286558592556,0.5756599970946156,0.3140979724226962
2015,catboost,CatBoost,9849,256,0.0790943242968829,3.2421697690834312,4.543974308914028,0.5873027356974897,0.3290384064950968
2015,rf,Random Forest,9849,256,0.0790943242968829,3.1646243453336633,4.69422558444633,0.6002860240115645,0.2839327041527653
2015,ftt,FT-Transformer,9849,256,0.0790943242968829,3.1581159936613403,4.72766918571183,0.5888893286890176,0.2736932403933129
2015,stack,Stacked Ensemble,9849,256,0.0790943242968829,3.136346882268307,4.6259072233880865,0.5999123618698418,0.304623894071959
2015,pick_bin,Pick-Bin Baseline,9849,256,0.0790943242968829,3.519697451655406,5.437378452309786,0.5776001912931042,0.0392618188671963
2016,spline,Spline Ridge,10105,253,0.0920336467095497,4.045906208255142,6.0705021462593765,0.3241149022011232,-0.1544037164658529
2016,xgb,XGBoost,10105,253,0.0920336467095497,3.361070516316787,4.998166699395112,0.4965850815696027,0.2174178179488409
2016,catboost,CatBoost,10105,253,0.0920336467095497,3.382509166056741,4.943962872465648,0.4836450979659938,0.2342995829709162
2016,rf,Random Forest,10105,253,0.0920336467095497,3.407877406082027,5.183779040037549,0.5043073237829234,0.1582144916483659
2016,ftt,FT-Transformer,10105,253,0.0920336467095497,3.5613690507506193,5.362480402526232,0.4780309391155048,0.0991760620391929
2016,stack,Stacked Ensemble,10105,253,0.0920336467095497,3.4047546950883483,5.139853618362268,0.5034926746189816,0.1724200060386411
2016,pick_bin,Pick-Bin Baseline,10105,253,0.0920336467095497,3.778827958562855,5.7530115033988745,0.5048148063642343,-0.0368094981552264
2017,spline,Spline Ridge,10358,253,0.1056188453369376,3.932232938678686,6.07519609663397,0.3972331006837603,-0.0797871269320698
