player_id,player,position,latest_team,last_year,career_years,interceptions_int,interceptions_td,interceptions_yds,passing_att,passing_completions,passing_int,passing_td,passing_yds,puntreturns_no,puntreturns_td,puntreturns_yds,rushing_car,rushing_td,rushing_yds,receiving_rec,receiving_td,receiving_yds,kicking_fga,kicking_fgm,kicking_pts,kicking_xpa,kicking_xpm,kickreturns_no,kickreturns_td,kickreturns_yds,punting_in_20,punting_no,punting_tb,punting_yds,defensive_pd,defensive_qb_hur,defensive_sacks,defensive_solo,defensive_td,defensive_tfl,defensive_tot,fumbles_fum,fumbles_lost,fumbles_rec,puntreturns_long,rushing_long,receiving_long,kicking_long,kickreturns_long,punting_long,passing_pct,passing_ypa,receiving_ypr,rushing_ypc,kicking_pct,punting_ypp,kickreturns_avg,puntreturns_avg,interceptions_avg
4431268,Chimere Dike,WR,Florida,2024,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,295.0,14.0,1.0,99.0,139.0,11.0,2261.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,35.0,30.0,74.0,,53.0,,,,16.26618705035971,7.071428571428571,,,21.454545454545453,10.925925925925926,
4431280,Troy Franklin,WR,Oregon,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,25.0,2483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,84.0,,,,,,15.51875,,,,,,
4431292,Devin Neal,S,Louisville,2024,5,6.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,99.0,0.0,6.0,148.0,0.0,0.0,1.0,3.0,,,,,,,,,,,,,3.0,6.333333333333333
4431299,Rome Odunze,WR,Washington,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,87.0,10.0,2.0,40.0,214.0,24.0,3272.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,1.0,0.0,83.0,23.0,61.0,,18.0,,,,15.289719626168225,4.0,,,8.5,29.0,
4431321,Andru Phillips,DB,Kentucky,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,55.0,0.0,3.0,82.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4431342,Brennan Presley,WR,Oklahoma State,2024,5,0.0,0.0,0.0,5.0,4.0,0.0,1.0,59.0,51.0,1.0,240.0,31.0,6.0,163.0,313.0,23.0,3309.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,1427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,6.0,12.0,8.0,0.0,23.0,22.0,55.0,,100.0,,0.8,11.8,10.571884984025559,5.258064516129032,,,22.650793650793652,4.705882352941177,
4431348,Malik Reed,LB,Colorado,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4431353,Xavier Restrepo,WR,Miami,2024,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,46.0,0.0,0.0,0.0,200.0,21.0,2844.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,2.0,0.0,19.0,,77.0,,50.0,,0.0,0.0,14.22,,,,11.8,3.5384615384615383,
4431401,Jordan Jenkins,RB,Baylor,2023,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,,,,,,,,5.4,,,,,
4431424,Bradyn Swinson,DE,LSU,2024,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,13.5,65.0,0.0,24.0,125.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4431426,Corey Thornton,DB,Louisville,2024,5,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,1.0,116.0,0.0,2.5,158.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.6666666666666666
4431431,Corey Kiner,RB,Cincinnati,2024,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,16.0,2886.0,31.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,,68.0,16.0,,27.0,,,,5.354838709677419,5.190647482014389,,,18.0,,
4431433,Kalen King,CB,Penn State,2023,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,56.0,0.0,5.5,77.0,0.0,0.0,2.0,,,,,,,,,,,,,,,0.0
4431442,Tuli Tuipulotu,DL,USC,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,20.0,61.0,1.0,30.0,108.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
4431452,Drake Maye,QB,North Carolina,2023,3,0.0,0.0,0.0,951.0,618.0,16.0,63.0,8018.0,0.0,0.0,0.0,302.0,16.0,1210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,,56.0,,,,45.0,0.6498422712933754,8.43112513144059,,4.006622516556291,,40.5,,,
4431453,Deuce Vaughn,RB,Kansas State,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,34.0,3614.0,116.0,9.0,1280.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,88.0,80.0,,40.0,,,,11.03448275862069,5.551459293394777,,,20.714285714285715,,
4431459,Tyler Warren,TE,Penn State,2024,4,0.0,0.0,0.0,6.0,3.0,0.0,1.0,35.0,0.0,0.0,0.0,32.0,6.0,224.0,153.0,19.0,1839.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,,48.0,75.0,,11.0,16.0,0.5,5.833333333333333,12.019607843137255,7.0,,16.0,11.0,,
4431463,Wyatt Milum,OL,West Virginia,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,,,,,,,,,,,,
4431466,Jordan Watkins,WR,Ole Miss,2024,5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,19.0,37.0,1.0,291.0,7.0,1.0,31.0,185.0,18.0,2682.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,4.0,0.0,0.0,70.0,23.0,76.0,,29.0,,1.0,9.5,14.497297297297298,4.428571428571429,,,19.0,7.864864864864865,
4431467,Marlowe Wax,LB,Syracuse,2024,5,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,4.0,13.0,23.0,217.0,0.0,45.0,325.0,0.0,0.0,4.0,,,,,21.0,,,,,,,,21.0,,21.0
