player_id,player,team,conference,season,draft_year,draft_overall,position,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
4426349,Travon Walker,Georgia,SEC,2020,2022,1,Defensive End,1.0,2.0,1.0,6.0,0.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426349,Travon Walker,Georgia,SEC,2021,2022,1,Defensive End,2.0,6.0,6.0,19.0,0.0,7.5,37.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426350,Henry To'o To'o,Alabama,SEC,2021,2023,167,Inside Linebacker,2.0,2.0,4.0,52.0,0.0,8.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426350,Henry To'o To'o,Alabama,SEC,2022,2023,167,Inside Linebacker,0.0,1.0,2.5,43.0,0.0,7.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426350,Henry To'o To'o,Tennessee,SEC,2019,2023,167,Inside Linebacker,2.0,3.0,0.5,33.0,0.0,5.0,72.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426350,Henry To'o To'o,Tennessee,SEC,2020,2023,167,Inside Linebacker,2.0,2.0,1.0,44.0,1.0,10.0,71.0,,,,32.0,1.0,1.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,1.0,0.0,31.0,31.0,,,,,
4426354,George Pickens,Georgia,SEC,2019,2022,52,Wide Receiver,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,49.0,8.0,727.0,14.8,,,,,
4426354,George Pickens,Georgia,SEC,2020,2022,52,Wide Receiver,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,36.0,6.0,513.0,14.3,,,,,
4426354,George Pickens,Georgia,SEC,2021,2022,52,Wide Receiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,5.0,0.0,107.0,21.4,,,,,
4426358,Darnell Wright,Tennessee,SEC,2021,2023,10,Offensive Tackle,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
