model,model_key,test_year,n_train,n_test,prediction_clip_upper,n_predictions_clipped,mae,rmse,r2,spearman
Spline Ridge,spline,2015,4076,256,41.0,2,2.978325405278726,4.498051792472631,0.31062164732368724,0.6518687291117586
Pick-Bin Baseline,pick_bin,2016,4332,253,,0,3.1928301678370654,4.703073315995003,0.2610980328315715,0.5711521853331004
XGBoost,xgboost,2016,4332,253,41.0,0,3.204800844663688,4.578171850577179,0.2998235390381151,0.5673959633453526
CatBoost,catboost,2016,4332,253,41.0,0,3.212667629463433,4.61494053113943,0.2885317192200103,0.5871469035362826
MLP Neural Net,mlp,2016,4332,253,41.0,0,3.2879238647862867,5.039099559324997,0.15173958100168194,0.5498850279163142
Spline Ridge,spline,2016,4332,253,41.0,0,3.211431562682492,4.934958078122357,0.18643873997994753,0.5788586623639145
Pick-Bin Baseline,pick_bin,2017,4585,253,,0,3.4295922681107553,4.864816186948538,0.2908121622149551,0.565509767212074
XGBoost,xgboost,2017,4585,253,41.0,0,3.4666114136164365,4.606302290202847,0.3641813263951461,0.6169739910257371
CatBoost,catboost,2017,4585,253,41.0,0,3.4280673740685876,4.647294362417863,0.3528145099540868,0.5908353545242303
MLP Neural Net,mlp,2017,4585,253,41.0,93,4.60430138435281,6.851422134441641,-0.4066623416163515,0.10074752248989835
Spline Ridge,spline,2017,4585,253,41.0,1,3.3428199233622538,5.107347354486221,0.21833764052386861,0.5974906097201235
Pick-Bin Baseline,pick_bin,2018,4838,256,,0,2.736790707236842,4.0842733676814005,0.47797665078011,0.6949215785962827
XGBoost,xgboost,2018,4838,256,41.0,0,2.888431914150715,4.117514542155553,0.4694447613561288,0.6878750417927281
CatBoost,catboost,2018,4838,256,41.0,0,2.8501669678702126,4.022086467515981,0.493752222616316,0.702266495738517
MLP Neural Net,mlp,2018,4838,256,41.0,2,3.514352251803002,5.466591063179829,0.06482368765306656,0.43966604354309036
Spline Ridge,spline,2018,4838,256,41.0,2,3.1164358455688115,4.685267334088954,0.31304375510734395,0.6395240997137438
Pick-Bin Baseline,pick_bin,2019,5094,254,,0,2.9491003484877996,4.113904114358823,0.3859800844756963,0.6318820146752884
XGBoost,xgboost,2019,5094,254,41.0,0,2.9453037812953857,3.948938936894051,0.4342364502828381,0.6291256259124346
CatBoost,catboost,2019,5094,254,41.0,0,2.9161392642128767,3.934783525623777,0.43828526540425417,0.6398107974190438
MLP Neural Net,mlp,2019,5094,254,41.0,0,3.2701175375552194,4.717473829156809,0.19259185444159088,0.5799495315136074
Spline Ridge,spline,2019,5094,254,41.0,0,3.077218825233207,4.341974327662697,0.3160117675327916,0.6342574780831167
Pick-Bin Baseline,pick_bin,2020,5348,255,,0,3.0980545416819925,4.567617064063589,0.34944236776589577,0.6013787303010758
XGBoost,xgboost,2020,5348,255,41.0,0,2.9935040277593274,4.300783501212867,0.4232314585115614,0.5969211986183494
CatBoost,catboost,2020,5348,255,41.0,0,3.0016116403215003,4.25558686193835,0.4352902037589629,0.615591842047577
MLP Neural Net,mlp,2020,5348,255,41.0,2,3.228646971318376,4.908915425343607,0.24858907973007793,0.5675717685408196
Spline Ridge,spline,2020,5348,255,41.0,2,3.083804309148425,4.523212222486649,0.3620298894045052,0.5884910911294915
Pick-Bin Baseline,pick_bin,2021,5603,259,,0,3.1595943470943473,4.440801440678683,0.4054607757574862,0.5880199880271111
XGBoost,xgboost,2021,5603,259,41.0,0,3.2218556560604728,4.4947627791928335,0.39092418728065903,0.5921388132420552
CatBoost,catboost,2021,5603,259,41.0,0,3.191928130028004,4.432569239211981,0.40766300444830783,0.5979441196228097
MLP Neural Net,mlp,2021,5603,259,41.0,23,3.5463167256419417,5.266409441393329,0.16384451491854513,0.47918031913355386
Spline Ridge,spline,2021,5603,259,41.0,22,3.2445138644633267,4.876811696822729,0.28298246674772076,0.5517755958685893
Pick-Bin Baseline,pick_bin,2022,5862,262,,0,3.312366649281684,4.614289386735424,0.27044577641171874,0.5485821411630785
XGBoost,xgboost,2022,5862,262,41.0,0,3.246574186186754,4.4208813463058725,0.3303226076046295,0.586411282091721
