pfr_player_id,player_name,pfr_player_name,position,primary_position,last_team,last_class,n_seasons,first_season,last_season,first_av_year,target_av,games
BrowDu20,Duane Brown,Duane Brown,OL,LT,Virginia Tech,SR,1,2007,2007,2008,16.0,14
WangEd20,Ed Wang,Ed Wang,OL,T,Virginia Tech,JR,1,2008,2008,2010,0.0,14
NkanEl00,Elijah Nkansah,Elijah Nkansah,OL,T,Toledo,SR,1,2017,2017,2018,0.0,14
NealEv00,Evan Neal,Evan Neal,OL,T,Alabama,JR,1,2021,2021,2022,8.0,14
LampFo00,Forrest Lamp,Forrest Lamp,OL,G,Western Kentucky,JR,1,2015,2015,2018,1.0,14
PrinIs00,Isaiah Prince,Isaiah Prince,OL,T,Ohio State,JR,1,2017,2017,2019,4.0,14
LathJC00,JC Latham,JC Latham,OL,LT,Alabama,JR,2,2021,2023,2024,11.0,28
BartJa00,Jackson Barton,Jackson Barton,OL,OL,Utah,SR,1,2018,2018,2021,0.0,14
CarmJa00,Jackson Carman,Jackson Carman,OL,G,Clemson,SO,1,2019,2019,2021,4.0,15
CarpJa00,James Carpenter,James Carpenter,OL,LG,Alabama,JR,1,2009,2009,2011,7.0,14
DaniJa01,James Daniels,James Daniels,OL,LG,Iowa,FR,1,2015,2015,2018,11.0,14
KirkJa03,Jaxson Kirkland,Jaxson Kirkland,OL,G,Washington,FR,1,2018,2018,2024,0.0,14
SirlJe00,Jeremiah Sirles,Jeremiah Sirles,OL,T,Nebraska,JR,1,2012,2012,2014,6.0,14
StalJo20,Joe Staley,Joe Staley,OL,LT,Central Michigan,,1,2006,2006,2007,13.0,14
BitoJo00,Joel Bitonio,Joel Bitonio,OL,LG,Nevada,FR,1,2010,2010,2014,10.0,14
OjukJo00,John Ojukwu,John Ojukwu,OL,OL,Boise State,SR,1,2022,2022,2023,3.0,14
SimpJo00,John Simpson,John Simpson,OL,G,Clemson,SR,2,2018,2019,2020,8.0,29
LuigJo20,Jonathan Luigs,Jonathan Luigs,OL,C,Arkansas,JR,1,2006,2006,2009,1.0,14
McFaJo00,Jordan McFadden,Jordan McFadden,OL,OL,Clemson,SR,1,2022,2022,2023,1.0,14
