college_player_season_id,cfb_player_id,player,college_team,conference,season,draft_season,draft_round,draft_pick_in_round,draft_overall,position,position_group,defensive_pd,defensive_qb_hur,defensive_sacks,defensive_solo,defensive_td,defensive_tfl,defensive_tot,fumbles_fum,fumbles_lost,fumbles_rec,interceptions_avg,interceptions_int,interceptions_td,interceptions_yds,kickreturns_avg,kickreturns_long,kickreturns_no,kickreturns_td,kickreturns_yds,kicking_fga,kicking_fgm,kicking_long,kicking_pct,kicking_pts,kicking_xpa,kicking_xpm,passing_att,passing_completions,passing_int,passing_pct,passing_td,passing_yds,passing_ypa,puntreturns_avg,puntreturns_long,puntreturns_no,puntreturns_td,puntreturns_yds,punting_in_20,punting_long,punting_no,punting_tb,punting_yds,punting_ypp,receiving_long,receiving_rec,receiving_td,receiving_yds,receiving_ypr,rushing_car,rushing_long,rushing_td,rushing_yds,rushing_ypc
161305_2006,161305,Trevard Lindley,Kentucky,SEC,2006,2010,4,7,105,CORNERBACK,DB,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161305_2007,161305,Trevard Lindley,Kentucky,SEC,2007,2010,4,7,105,CORNERBACK,DB,,,,,,,,,,,11.0,3.0,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161305_2008,161305,Trevard Lindley,Kentucky,SEC,2008,2010,4,7,105,CORNERBACK,DB,,,,,,,,,,,13.8,4.0,1.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161305_2009,161305,Trevard Lindley,Kentucky,SEC,2009,2010,4,7,105,CORNERBACK,DB,,,,,,,,,,,25.0,1.0,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162413_2006,162413,Jordan Shipley,Texas,Big 12,2006,2010,3,20,84,WIDERECEIVER,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,16.0,4.0,229.0,14.3,7.0,40.0,0.0,110.0,15.7
162413_2007,162413,Jordan Shipley,Texas,Big 12,2007,2010,3,20,84,WIDERECEIVER,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,60.0,27.0,5.0,417.0,15.4,4.0,9.0,0.0,20.0,5.0
162413_2008,162413,Jordan Shipley,Texas,Big 12,2008,2010,3,20,84,WIDERECEIVER,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,45.0,14.0,1.0,64.0,,,,,,,68.0,89.0,11.0,1060.0,11.9,4.0,17.0,0.0,32.0,8.0
162413_2009,162413,Jordan Shipley,Texas,Big 12,2009,2010,3,20,84,WIDERECEIVER,WR,,,,,,,,,,,,,,,18.5,23.0,4.0,0.0,74.0,,,,,,,,,,,,,,,5.4,74.0,58.0,2.0,311.0,,,,,,,88.0,116.0,13.0,1485.0,12.8,1.0,0.0,0.0,0.0,0.0
168823_2006,168823,Sean Canfield,Oregon State,Pac-10,2006,2010,7,32,239,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,28.0,2.0,0.622,2.0,335.0,7.4,,,,,,,,,,,,,,,,,3.0,1.0,1.0,-10.0,-3.3
168823_2007,168823,Sean Canfield,Oregon State,Pac-10,2007,2010,7,32,239,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,165.0,15.0,0.577,9.0,1661.0,5.8,,,,,,,,,,,,,,,,,36.0,18.0,0.0,-115.0,-3.2
168823_2008,168823,Sean Canfield,Oregon State,Pac-10,2008,2010,7,32,239,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,56.0,2.0,0.667,6.0,703.0,8.4,,,,,,,,,,,,,,,,,6.0,2.0,0.0,-28.0,-4.7
168823_2009,168823,Sean Canfield,Oregon State,Pac-10,2009,2010,7,32,239,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,303.0,7.0,0.679,21.0,3271.0,7.3,,,,,,,,,,,,,,,,,48.0,7.0,2.0,-160.0,-3.3
169063_2008,169063,Brandon Ghee,Wake Forest,ACC,2008,2010,3,32,96,CORNERBACK,DB,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,10.0,10.0,1.0,0.0,10.0,,,,,,,,,,,,,,,,
169289_2006,169289,Corey Wootton,Northwestern,Big Ten,2006,2010,4,11,109,DEFENSIVEEND,DL,,,,,,,,,,,5.5,2.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169289_2007,169289,Corey Wootton,Northwestern,Big Ten,2007,2010,4,11,109,DEFENSIVEEND,DL,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169289_2008,169289,Corey Wootton,Northwestern,Big Ten,2008,2010,4,11,109,DEFENSIVEEND,DL,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169328_2007,169328,Kyle Calloway,Iowa,Big Ten,2007,2010,7,9,216,OFFENSIVETACKLE,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,1.0,0.0,-1.0,-1.0,,,,,
169337_2005,169337,Tony Moeaki,Iowa,Big Ten,2005,2010,3,29,93,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,8.0,0.0,112.0,14.0,,,,,
169337_2006,169337,Tony Moeaki,Iowa,Big Ten,2006,2010,3,29,93,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,11.0,3.0,140.0,12.7,,,,,
169337_2007,169337,Tony Moeaki,Iowa,Big Ten,2007,2010,3,29,93,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,14.0,3.0,170.0,12.1,,,,,
169337_2008,169337,Tony Moeaki,Iowa,Big Ten,2008,2010,3,29,93,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,13.0,1.0,144.0,11.1,,,,,
169337_2009,169337,Tony Moeaki,Iowa,Big Ten,2009,2010,3,29,93,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,30.0,4.0,387.0,12.9,,,,,
169390_2007,169390,Tony Pike,Cincinnati,Big East,2007,2010,6,35,204,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,11.0,3.0,0.55,1.0,91.0,4.6,,,,,,,,,,,,,,,,,7.0,35.0,0.0,75.0,10.7
169390_2008,169390,Tony Pike,Cincinnati,Big East,2008,2010,6,35,204,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0,199.0,11.0,0.614,19.0,2407.0,7.4,,,,,,,,,,,,,,,,,56.0,14.0,1.0,47.0,0.8
169390_2009,169390,Tony Pike,Cincinnati,Big East,2009,2010,6,35,204,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,338.0,211.0,6.0,0.624,29.0,2520.0,7.5,,,,,,0.0,21.0,1.0,0.0,21.0,21.0,,,,,,31.0,16.0,2.0,6.0,0.2
169405_2007,169405,Mardy Gilyard,Cincinnati,Big East,2007,2010,4,1,99,WIDERECEIVER,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,30.0,7.0,0.0,50.0,,,,,,,76.0,36.0,3.0,536.0,14.9,,,,,
169405_2008,169405,Mardy Gilyard,Cincinnati,Big East,2008,2010,4,1,99,WIDERECEIVER,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,69.0,81.0,11.0,1276.0,15.8,2.0,6.0,0.0,10.0,5.0
169405_2009,169405,Mardy Gilyard,Cincinnati,Big East,2009,2010,4,1,99,WIDERECEIVER,WR,,,,,,,,,,,,,,,30.5,99.0,42.0,2.0,1281.0,,,,,,,,,,,,,,,5.6,53.0,36.0,1.0,202.0,,,,,,,68.0,87.0,11.0,1191.0,13.7,5.0,5.0,1.0,16.0,3.2
170586_2006,170586,Dan LeFevour,Central Michigan,Mid-American,2006,2010,6,12,181,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0,247.0,10.0,0.637,26.0,3031.0,7.8,,,,,,,,,,,,2.0,1.0,0.0,2.0,2.0,132.0,41.0,7.0,521.0,3.9
170586_2007,170586,Dan LeFevour,Central Michigan,Mid-American,2007,2010,6,12,181,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,543.0,355.0,13.0,0.654,27.0,3652.0,6.7,,,,,,0.0,33.0,2.0,0.0,52.0,26.0,32.0,1.0,1.0,32.0,32.0,188.0,43.0,19.0,1122.0,6.0
170586_2008,170586,Dan LeFevour,Central Michigan,Mid-American,2008,2010,6,12,181,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,251.0,6.0,0.668,21.0,2784.0,7.4,,,,,,0.0,42.0,2.0,0.0,78.0,39.0,,,,,,168.0,27.0,6.0,592.0,3.5
170586_2009,170586,Dan LeFevour,Central Michigan,Mid-American,2009,2010,6,12,181,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,318.0,7.0,0.697,28.0,3438.0,7.5,,,,,,0.0,42.0,3.0,0.0,97.0,32.3,24.0,1.0,0.0,24.0,24.0,183.0,53.0,15.0,713.0,3.9
170644_2008,170644,Jameson Konz,Kent State,Mid-American,2008,2010,7,38,245,FULLBACK,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,0.0,12.0,6.0,,,,,
170644_2009,170644,Jameson Konz,Kent State,Mid-American,2009,2010,7,38,245,FULLBACK,RB,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,21.0,2.0,298.0,14.2,,,,,
170697_2006,170697,James Starks,Buffalo,Mid-American,2006,2010,6,24,193,RUNNINGBACK,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,34.0,0.0,226.0,6.6,175.0,54.0,6.0,704.0,4.0
170697_2007,170697,James Starks,Buffalo,Mid-American,2007,2010,6,24,193,RUNNINGBACK,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,5.0,5.0,,,,,,,,,,,,74.0,41.0,2.0,311.0,7.6,251.0,92.0,12.0,1103.0,4.4
170697_2008,170697,James Starks,Buffalo,Mid-American,2008,2010,6,24,193,RUNNINGBACK,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,52.0,1.0,361.0,6.9,272.0,66.0,16.0,1333.0,4.9
170838_2009,170838,Hall Davis,Louisiana,Sun Belt,2009,2010,5,18,149,DEFENSIVEEND,DL,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170969_2008,170969,Alex Carrington,Arkansas State,Sun Belt,2008,2010,3,8,72,DEFENSIVEEND,DL,,,,,,,,,,,18.0,1.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171812_2009,171812,Jamar Chaney,Mississippi State,SEC,2009,2010,7,13,220,INSIDELINEBACKER,LB,,,,,,,,,,,9.5,2.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172944_2008,172944,Levi Brown,Troy,Sun Belt,2008,2010,7,2,209,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,326.0,201.0,3.0,0.617,15.0,2030.0,6.2,,,,,,,,,,,,,,,,,33.0,13.0,0.0,17.0,0.5
172944_2009,172944,Levi Brown,Troy,Sun Belt,2009,2010,7,2,209,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0,321.0,9.0,0.637,23.0,4254.0,8.4,,,,,,,,,,,,17.0,1.0,0.0,17.0,17.0,54.0,37.0,1.0,7.0,0.1
173148_2006,173148,Jerome Murphy,South Florida,Big East,2006,2010,3,1,65,CORNERBACK,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,1.0,0.0,18.0,,,,,,,,,,,,,,,,
173148_2007,173148,Jerome Murphy,South Florida,Big East,2007,2010,3,1,65,CORNERBACK,DB,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,5.7,12.0,3.0,0.0,17.0,,,,,,,,,,,,,,,,
173148_2008,173148,Jerome Murphy,South Florida,Big East,2008,2010,3,1,65,CORNERBACK,DB,,,,,,,,,,,5.5,2.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173148_2009,173148,Jerome Murphy,South Florida,Big East,2009,2010,3,1,65,CORNERBACK,DB,,,,,,,,,,,14.8,4.0,0.0,59.0,15.0,21.0,2.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173396_2006,173396,Ed Dickson,Oregon,Pac-10,2006,2010,3,6,70,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,4.0,0.0,45.0,11.3,,,,,
173396_2007,173396,Ed Dickson,Oregon,Pac-10,2007,2010,3,6,70,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,43.0,3.0,453.0,10.5,2.0,10.0,0.0,10.0,5.0
173396_2008,173396,Ed Dickson,Oregon,Pac-10,2008,2010,3,6,70,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,45.0,35.0,3.0,508.0,14.5,3.0,9.0,0.0,18.0,6.0
173396_2009,173396,Ed Dickson,Oregon,Pac-10,2009,2010,3,6,70,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,42.0,6.0,551.0,13.1,,,,,
173570_2008,173570,Jerrell Powe,Ole Miss,SEC,2008,2011,6,34,199,DEFENSIVETACKLE,DL,,,,,,,,,,,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173570_2009,173570,Jerrell Powe,Ole Miss,SEC,2009,2011,6,34,199,DEFENSIVETACKLE,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0
173601_2005,173601,Mikail Baker,Baylor,Big 12,2005,2011,7,13,216,DEFENSIVEBACK,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,8.0,1.0,158.0,19.8,,,,,
173601_2006,173601,Mikail Baker,Baylor,Big 12,2006,2011,7,13,216,DEFENSIVEBACK,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,8.0,1.0,65.0,8.1,1.0,4.0,0.0,4.0,4.0
173601_2007,173601,Mikail Baker,Baylor,Big 12,2007,2011,7,13,216,DEFENSIVEBACK,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,6.0,0.0,87.0,14.5,,,,,
173601_2008,173601,Mikail Baker,Baylor,Big 12,2008,2011,7,13,216,DEFENSIVEBACK,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,1.0,0.0,11.0,,,,,,,20.0,4.0,0.0,44.0,11.0,2.0,7.0,0.0,6.0,3.0
173601_2009,173601,Mikail Baker,Baylor,Big 12,2009,2011,7,13,216,DEFENSIVEBACK,DB,,,,,,,,,,,1.0,1.0,0.0,1.0,25.2,52.0,9.0,0.0,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173601_2010,173601,Mikail Baker,Baylor,Big 12,2010,2011,7,13,216,DEFENSIVEBACK,DB,,,,,,,,,,,0.0,1.0,0.0,0.0,19.6,30.0,18.0,0.0,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173642_2006,173642,Joe Webb,UAB,Conference USA,2006,2010,6,30,199,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,33.0,0.0,0.647,1.0,426.0,8.4,,,,,,,,,,,,,,,,,24.0,36.0,1.0,38.0,1.6
173642_2007,173642,Joe Webb,UAB,Conference USA,2007,2010,6,30,199,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,65.0,1.0,0.556,5.0,679.0,5.8,,,,,,,,,,,,33.0,30.0,3.0,459.0,15.3,67.0,28.0,1.0,288.0,4.3
173642_2008,173642,Joe Webb,UAB,Conference USA,2008,2010,6,30,199,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,353.0,208.0,16.0,0.589,10.0,2367.0,6.7,,,,,,0.0,52.0,2.0,0.0,89.0,44.5,,,,,,198.0,41.0,11.0,1021.0,5.2
173642_2009,173642,Joe Webb,UAB,Conference USA,2009,2010,6,30,199,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,162.0,8.0,0.598,21.0,2299.0,8.5,,,,,,,,,,,,14.0,2.0,1.0,12.0,6.0,227.0,71.0,11.0,1427.0,6.3
173689_2008,173689,Jeremy Ware,Michigan State,Big Ten,2008,2010,7,8,215,CORNERBACK,DB,,,,,,,,,,,16.0,1.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173689_2009,173689,Jeremy Ware,Michigan State,Big Ten,2009,2010,7,8,215,CORNERBACK,DB,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174011_2009,174011,Austin Spitler,Ohio State,Big Ten,2009,2010,7,45,252,OUTSIDELINEBACKER,LB,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174020_2007,174020,Doug Worthington,Ohio State,Big Ten,2007,2010,7,35,242,DEFENSIVEEND,DL,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174054_2006,174054,Zac Robinson,Oklahoma State,Big 12,2006,2010,7,43,250,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,25.0,0.0,0.49,3.0,345.0,6.8,,,,,,,,,,,,,,,,,29.0,43.0,1.0,144.0,5.0
174054_2007,174054,Zac Robinson,Oklahoma State,Big 12,2007,2010,7,43,250,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,333.0,201.0,9.0,0.604,23.0,2824.0,8.5,,,,,,,,,,,,,,,,,141.0,57.0,9.0,843.0,6.0
174054_2008,174054,Zac Robinson,Oklahoma State,Big 12,2008,2010,7,43,250,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,204.0,10.0,0.65,25.0,3064.0,9.8,,,,,,,,,,,,21.0,1.0,0.0,21.0,21.0,146.0,31.0,8.0,562.0,3.8
174054_2009,174054,Zac Robinson,Oklahoma State,Big 12,2009,2010,7,43,250,QUARTERBACK,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,180.0,12.0,0.598,15.0,2084.0,6.9,,,,,,,,,,,,,,,,,111.0,22.0,4.0,305.0,2.7
174183_2007,174183,Tyson Alualu,California,Pac-10,2007,2010,1,10,10,DEFENSIVETACKLE,DL,,,,,,,,,,,8.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174208_2006,174208,Syd'Quan Thompson,California,Pac-10,2006,2010,7,18,225,CORNERBACK,DB,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174208_2007,174208,Syd'Quan Thompson,California,Pac-10,2007,2010,7,18,225,CORNERBACK,DB,,,,,,,,,,,38.0,1.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174208_2008,174208,Syd'Quan Thompson,California,Pac-10,2008,2010,7,18,225,CORNERBACK,DB,,,,,,,,,,,32.0,4.0,0.0,128.0,,,,,,,,,,,,,,,,,,,,8.8,73.0,39.0,1.0,344.0,,,,,,,,,,,,,,,,
174208_2009,174208,Syd'Quan Thompson,California,Pac-10,2009,2010,7,18,225,CORNERBACK,DB,,,,,,,,,,,38.0,1.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,2.1,12.0,21.0,0.0,45.0,,,,,,,,,,,,,,,,
174445_2008,174445,Selvish Capers,West Virginia,Big East,2008,2010,7,24,231,OFFENSIVETACKLE,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,1.0,0.0,-2.0,-2.0,,,,,
174556_2008,174556,Keenan Clayton,Oklahoma,Big 12,2008,2010,4,23,121,OUTSIDELINEBACKER,LB,,,,,,,,,,,-3.0,1.0,0.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174556_2009,174556,Keenan Clayton,Oklahoma,Big 12,2009,2010,4,23,121,OUTSIDELINEBACKER,LB,,,,,,,,,,,4.5,2.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174559_2006,174559,Brody Eldridge,Oklahoma,Big 12,2006,2010,5,31,162,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,0.0,18.0,6.0,,,,,
174559_2007,174559,Brody Eldridge,Oklahoma,Big 12,2007,2010,5,31,162,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,0.0,37.0,9.3,,,,,
174559_2008,174559,Brody Eldridge,Oklahoma,Big 12,2008,2010,5,31,162,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,1.0,24.0,6.0,,,,,
174559_2009,174559,Brody Eldridge,Oklahoma,Big 12,2009,2010,5,31,162,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,0.0,19.0,9.5,,,,,
174771_2006,174771,Kyle Wilson,Boise State,Western Athletic,2006,2010,1,29,29,CORNERBACK,DB,,,,,,,,,,,16.0,1.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,
174771_2007,174771,Kyle Wilson,Boise State,Western Athletic,2007,2010,1,29,29,CORNERBACK,DB,,,,,,,,,,,10.0,2.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,14.0,61.0,5.0,0.0,70.0,,,,,,,,,,,,1.0,0.0,0.0,-1.0,-1.0
