iter	Passed	Remaining
212	1162	1927
213	1169	1924
214	1175	1918
215	1180	1913
216	1186	1908
217	1192	1902
218	1197	1897
219	1203	1893
220	1208	1886
221	1213	1880
222	1218	1874
223	1223	1868
224	1229	1862
225	1234	1857
226	1239	1851
227	1244	1845
228	1251	1841
229	1256	1835
230	1261	1829
231	1267	1824
232	1272	1818
233	1278	1813
234	1284	1809
235	1291	1805
236	1297	1800
237	1303	1795
238	1308	1790
239	1313	1783
240	1319	1778
241	1324	1773
242	1329	1767
243	1335	1762
244	1340	1755
245	1345	1750
246	1351	1745
247	1357	1741
248	1363	1735
249	1368	1730
250	1373	1724
251	1378	1718
252	1385	1714
253	1392	1710
254	1397	1704
255	1404	1700
256	1410	1695
257	1415	1689
258	1422	1685
259	1427	1679
260	1431	1673
261	1437	1667
262	1441	1660
263	1447	1655
264	1452	1650
265	1458	1644
266	1462	1638
267	1469	1633
268	1474	1628
269	1480	1623
270	1487	1618
271	1492	1613
272	1497	1607
273	1503	1602
274	1508	1596
275	1514	1591
276	1520	1586
277	1526	1580
278	1531	1575
279	1537	1570
280	1542	1564
281	1547	1558
282	1553	1553
283	1558	1547
284	1563	1542
285	1570	1537
286	1576	1532
287	1581	1526
288	1586	1520
289	1591	1514
290	1596	1509
291	1602	1503
292	1608	1498
293	1614	1493
294	1620	1488
295	1625	1482
296	1631	1477
297	1637	1473
298	1642	1466
299	1648	1461
300	1654	1456
301	1659	1450
302	1664	1444
303	1669	1439
304	1675	1433
305	1680	1428
306	1686	1423
307	1693	1418
308	1699	1413
309	1706	1409
310	1712	1403
311	1717	1398
312	1723	1393
313	1728	1387
314	1734	1382
315	1741	1377
316	1746	1372
317	1752	1366
318	1757	1360
319	1762	1354
320	1767	1349
321	1774	1344
322	1780	1339
323	1785	1333
324	1791	1328
325	1797	1323
326	1803	1317
327	1809	1312
328	1814	1306
329	1819	1301
330	1825	1295
331	1830	1290
332	1836	1284
333	1841	1279
334	1847	1273
335	1852	1268
336	1858	1263
337	1864	1257
338	1869	1252
339	1875	1246
340	1880	1240
341	1885	1234
342	1891	1229
343	1897	1224
344	1903	1219
345	1908	1213
346	1913	1207
347	1918	1201
348	1924	1196
349	1929	1190
350	1934	1185
351	1940	1179
352	1945	1174
353	1950	1168
354	1956	1163
355	1962	1157
356	1967	1151
357	1973	1146
358	1979	1141
359	1985	1135
360	1990	1130
361	1996	1124
362	2001	1119
363	2006	1113
364	2011	1107
365	2017	1102
366	2024	1097
367	2029	1091
368	2033	1085
369	2039	1080
370	2045	1075
371	2050	1069
372	2056	1064
373	2061	1058
374	2066	1052
375	2072	1047
376	2077	1041
377	2083	1036
378	2090	1031
379	2095	1025
380	2101	1020
381	2108	1015
382	2113	1010
383	2119	1004
384	2124	998
385	2130	993
386	2136	987
387	2141	982
388	2146	976
389	2152	971
390	2158	965
391	2163	960
392	2167	954
393	2174	949
394	2179	943
395	2185	938
396	2190	932
397	2196	926
398	2201	921
399	2206	915
400	2211	909
401	2216	904
402	2221	898
403	2227	893
404	2232	887
405	2239	882
406	2244	876
407	2248	870
408	2254	865
409	2260	860
410	2265	854
411	2272	849
412	2277	843
413	2283	838
414	2289	833
415	2294	827
416	2299	821
417	2305	816
418	2311	811
419	2317	805
420	2322	800
421	2328	794
422	2333	788
423	2339	783
424	2345	778
425	2350	772
426	2355	766
